,Author,Title,Publication Date,Journal,DOI or ISSN or Link,Documented or Projected,Date Range of Study,Year,Study Area,Continent or Region,Country,Freshwater Ecoregion,Major Habitat Type,Waterbody Type,Lentic or Lotic,Climate Change Variable,Focal Species or Assemblage,Additional Species,Response Category,Response Variable,Fish_Response,Thermal Guild,Family or Fish Assemblage,Feeding Type,Feeding Habit,Reproductive Guild - Parental Care,Reproductive Guild - Pattern of Care,Binary Response,Management Recommendations
11,Ellis and Vokoun,Earlier spring warming of coastal streams and implications for Alewife migration timing,2009,North American Journal of Fisheries Management,10.1577/M08-181.1,documented,1973-2007,1990,New England,North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,stream,lotic,temperature,Alewife (Alosa pseudoharengus),NA,phenological,migration timing,earlier migration,cool,Clupeidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,unknown,Restore connectivity
12,Rennie et al.,Factors affecting the growth and condition of lake whitefish (Coregonus clupeaformis),2009,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/F09-139,documented,1947-2005,1976,"inner basin South Bay, Lake Huron",North America,"Canada, United States",Laurentian Great Lakes,Large lakes,lake,lentic,temperature,Lake Whitefish (Coregonus clupeaformis),NA,demographic,growth,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,negative (-),No formal management recommendation
13,Schneider et al.,Timing of Walleye spawning as an indicator of climate change,2010,Transactions of the American Fisheries Society,10.1577/T09-129.1,documented,1938-2007,1972,Minnesota,North America,United States,English - Winnipeg Lakes; Upper Mississippi; Laurentian Great Lakes; Middle Missouri,Large lakes; Temperate floodplain rivers and wetlands,lake,lentic,temperature,Walleye (Sander vitreus),NA,phenological,spawn timing timing,earlier spawn timing,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,unknown,Conduct research and/or monitoring
14,Bentley and Burgner,An assessment of parasite infestation rates of juvenile sockeye salmon after 50 years of climate warming in southwest Alaska,2011,Environmental Biology of Fishes,10.1007/s10641-011-9830-2,documented,1948-1960; 2008-2009,1978,"Wood River, Alaska",North America,United States,Alaskan Coastal,Polar freshwaters,stream,lotic,temperature,Sockeye Salmon (Oncorhynchus nerka),NA,assemblage dynamics,parasite prevalence,no change,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,no effect,No formal management recommendation
15,Crozier et al.,Using time series analysis to characterize evolutionary and plastic responses to environmental change: A case study of a shift toward earlier migration date in Sockeye Salmon,2011,American Naturalist,10.1086/662669,documented,1940-2010,1975,Columbia River,North America,United States,Columbia Glaciated,Temperate upland rivers,"lake, stream","lentic, lotic",temperature,Sockeye Salmon (Oncorhynchus nerka),NA,phenological,migration timing,earlier migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,unknown,No formal management recommendation
16,von Biela et al.,Long-term increases in young-of-the-year growth of Arctic Cisco (Coregonus autumnalis) and environmental influences,2011,Journal of Fish Biology,10.1111/j.1095-8649.2010.02832.x,documented,1978-2004,1991,"Colville River, Nuiqsut Alaska",North America,United States,Alaskan Coastal,Polar freshwaters,stream,lotic,"flow, ice cover, precipitation, temperature",Arctic Cisco (Coregonus autumnalis),NA,demographic,growth,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,positive (+),No formal management recommendation
17,Russell et al.,The influence of the freshwater environment and the biological characteristics of Atlantic salmon smolts on their subsequent marine survival,2012,ICES Journal of Marine Science,10.1093/icesjms/fsr208,documented,1989-2009,1999,"United States of America, Canada, and Europe","Europe, North America","Canada, Europe, United States",NA,NA,stream,lotic,temperature,Atlantic Salmon (Salmo salar),NA,phenological,mean smolt age,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),Conduct research and/or monitoring; Modify fishing regulations
18,Jacobson et al.,The effects of climate change and eutrophication on Cisco (Coregonus artedi) abundance in Minnesota lakes,2012,Advances in Limnology,10.1127/advlim/63/2012/417,documented,1947-2007,1977,"Minnesota, United States of America",North America,United States,English - Winnipeg Lakes; Laurentian Great Lakes; Upper Mississippi,Large lakes; Temperate floodplain rivers and wetlands,stream,lotic,temperature,Cisco (Coregonus artedi),NA,demographic,abundance,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),selective plankton feeding,nonguarders,open water/substratum egg scatterers,negative (-),Protect refugial populations and/or habitats; Prioritize populations based on vulnerability; Restore aquatic and associated terrestrial habitats; Minimize other anthropogenic stressors
19,Kovach et al.,"Earlier migration timing, decreasing phenotypic variation, and biocomplexity in multiple Salmonid species",2013,PLOS ONE,10.1371/journal.pone.0053807,documented,1971-2010,1990,"Auke Creek, Alaska",North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,stream,lotic,temperature,Pink Salmon (Oncorhynchus gorbuscha),"Coho Salmon (Oncorhynchus kisutch), Sockeye Salmon (Oncorhynchus nerka)",phenological,migration from saltwater to freshwater,earlier migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,unknown,No formal management recommendation
20,Kovach et al.,"Earlier migration timing, decreasing phenotypic variation, and biocomplexity in multiple Salmonid species",2013,PLOS ONE,10.1371/journal.pone.0053807,documented,1971-2010,1990,"Auke Creek, Alaska",North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,stream,lotic,temperature,Pink Salmon (Oncorhynchus gorbuscha),"Coho Salmon (Oncorhynchus kisutch), Sockeye Salmon (Oncorhynchus nerka), Dolly Varden (Salvelinus malma), Cutthroat Trout (Oncorhynchus clarkii)",phenological,migraton from freshwater to saltwater,earlier migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,unknown,No formal management recommendation
21,Kumar et al.,"Temperature-driven decline of a cisco population in Mille Lacs Lake, Minnesota",2013,North American Journal of Fisheries Management,10.1080/02755947.2013.785992,documented,1985-2007,1996,"Mille Lacs Lake, Minnesota",North America,United States,Upper Mississippi,Temperate floodplain rivers and wetlands,lake,lentic,temperature,Cisco (Coregonus artedi),NA,demographic,abundance (cpue),decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),selective plankton feeding,nonguarders,open water/substratum egg scatterers,negative (-),Modify fishing regulations
22,Mills et al.,Climate and ecosystem linkages explain widespread declines in North American Atlantic salmon populations.,2013,Global Change Biology,10.1111/gcb.12298,documented,1978-2010,1994,North America-Atlantic rivers,North America,United States,Canadian Arctic Archipelago; Eastern Hudson Bay - Ungava; Gulf of St. Lawrence Coastal Drainages; Canadian Atlantic Islands; Northeast US & Southeast Canada Atlantic Drainages; Scotia - Fundy,Polar freshwaters; Temperate coastal rivers,stream,lotic,temperature,Atlantic Salmon (Salmo salar),Capelin (Mallotus villosus),demographic,abundance; population size (modeled),decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),Other
23,Eby et al.,"Evidence of Climate-Induced Range Contractions in Bull Trout (Salvelinus confluentus) in a Rocky Mountain Watershed, U.S.A",2014,PLOS ONE,10.1371/journal.pone.0098812,documented,"1992-1995,2009-2011",2001,Bitterroot River basin,North America,United States,Columbia Glaciated; Columbia Unglaciated; Upper Missouri,Temperate coastal rivers; Temperate floodplain rivers and wetlands; Temperate upland rivers,stream,lotic,temperature,Bull Trout (Salvelinus confluentus),NA,distributional,occupancy; local colonization; extinction,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),No formal management recommendation
24,Hayes et al.,Timing of redd construction by Fall Chinook Salmon in the Hanford Reach of the Columbia River,2014,River Research and Applications,10.1002/rra.2719,documented,1950-2010,1980,"Hanford Reach, Columbia River, Washington, United States of America",North America,United States,Columbia Glaciated,Temperate upland rivers,stream,lotic,temperature,Chinook Salmon (Oncorhynchus tshawytscha),NA,phenological,redd construction,later date of redd construction,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,unknown,No formal management recommendation
25,Kovach et al.,Variable effects of climate and density on the juvenile ecology of two salmonids in an Alaskan lake,2014,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/cjfas-2013-0577,documented,1980-2011,1995,"Auke Lake, Alaska",North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,lake,lentic,temperature,Coho Salmon (Oncorhynchus kisutch),NA,demographic,biomass; growth,no change,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,no effect,Other
26,Kovach et al.,Variable effects of climate and density on the juvenile ecology of two salmonids in an Alaskan lake,2014,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/cjfas-2013-0577,documented,1980-2011,1995,"Auke Lake, Alaska",North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,lake,lentic,temperature,Sockeye Salmon (Oncorhynchus nerka),NA,demographic,biomass; growth,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,positive (+),Other
27,Peer and Miller,"Climate change, migration phenology, and fisheries management interact with unanticipated consequences",2014,North American Journal of Fisheries Management,10.1080/02755947.2013.847877,documented,1985-2010,1997,Potomac River and upper Chesapeake Bay,North America,United States,Appalachian Piedmont,Temperate coastal rivers,"stream, ocean",lotic,temperature,Striped Bass (Morone saxatilis),NA,phenological,spawning migration timing,earlier,warm,Moronidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,unknown,Modify fishing regulations
28,Strayer et al.,Decadal scale change in a large river ecosystem,2014,BioScience,10.1093/biosci/biu061,documented,1976-2012,1994,"Hudson River, New York",North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,stream,lotic,temperature,American Shad (Alosa sapidissima),NA,phenological,spawn timing timing (appearance of larvae),no change,cool,Clupeidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,no effect,Conduct research and/or monitoring
29,Strayer et al.,Decadal scale change in a large river ecosystem,2014,BioScience,10.1093/biosci/biu061,documented,1976-2012,1994,"Hudson River, New York",North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,stream,lotic,temperature,Blueback Herring (Alosa aestivalis),NA,phenological,spawn timing timing (appearance of larvae),no change,warm,Clupeidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,no effect,Conduct research and/or monitoring
30,Strayer et al.,Decadal scale change in a large river ecosystem,2014,BioScience,10.1093/biosci/biu061,documented,1976-2012,1994,"Hudson River, New York",North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,stream,lotic,temperature,Common Carp (Cyprinus carpio),NA,phenological,spawn timing timing (appearance of larvae),no change,warm,Cyprinidae,plants/detritus+animals (troph. 2.2-2.79),browsing on substrate,nonguarders,open water/substratum egg scatterers,no effect,Conduct research and/or monitoring
31,Strayer et al.,Decadal scale change in a large river ecosystem,2014,BioScience,10.1093/biosci/biu061,documented,1976-2012,1994,"Hudson River, New York",North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,stream,lotic,temperature,Fish Assemblage,NA,phenological,spawn timing timing (appearance of larvae),variable,"cold, cool, warm",Fish Assemblage,NA,NA,NA,NA,unknown,Conduct research and/or monitoring
32,Strayer et al.,Decadal scale change in a large river ecosystem,2014,BioScience,10.1093/biosci/biu061,documented,1976-2012,1994,"Hudson River, New York",North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,stream,lotic,temperature,Striped Bass (Morone saxatilis),NA,phenological,spawn timing timing (appearance of larvae),earlier spawn timing,warm,Moronidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,unknown,Conduct research and/or monitoring
33,Strayer et al.,Decadal scale change in a large river ecosystem,2014,BioScience,10.1093/biosci/biu061,documented,1976-2012,1994,"Hudson River, New York",North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,stream,lotic,temperature,Tessellated Darter (Etheostoma olmstedi),NA,phenological,spawn timing timing (appearance of larvae),no change,warm,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,no effect,Conduct research and/or monitoring
34,Strayer et al.,Decadal scale change in a large river ecosystem,2014,BioScience,10.1093/biosci/biu061,documented,1976-2012,1994,"Hudson River, New York",North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,stream,lotic,temperature,White Perch (Morone americana),NA,phenological,spawn timing timing (appearance of larvae),earlier spawn timing,warm,Moronidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,unknown,Conduct research and/or monitoring
35,Fayram et al.,"Effects of localized temperature and precipitation on historic Walleye recruitment in Wisconsin, USA with implications for climate change",2014,Aquatic Ecosystem Health & Management,10.1080/14634988.2014.905100,documented,1950-2006,1978,"Wisconsin, United States of America",North America,United States,Laurentian Great Lakes,Large lakes,lake,lentic,temperature,Walleye (Sander vitreus),NA,demographic,growth,increase,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,positive (+),No formal management recommendation
36,Otero et al.,Basin-scale phenology and effects of climate variability on global timing of initial seaward migration of Atlantic salmon (Salmo salar),2014,Global Change Biology,10.1111/gcb.12363,documented,1970-2010,1990,"North Atlantic waters, Canada to Norway",North America,"Canada, England, Finland, France, Iceland, Ireland, Norway, Russia, Scotland, Spain, Sweden, United States, Wales",NA,NA,stream,lentic,temperature,Atlantic Salmon (Salmo salar),NA,phenological,smolt outmigration,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,unknown,No formal management recommendation
37,Farmer et al.,Short winters threaten temperate fish populations,2015,Nature Communications,10.1038/ncomms8724,documented,2015,2015,"Lake Erie, United States of America",North America,United States,Laurentian Great Lakes,Large lakes,lake,lentic,temperature,Yellow Perch (Perca flavescens),NA,demographic,juvenile abundance; reproductive success,decrease,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,negative (-),No formal management recommendation
38,Farmer et al.,Short winters threaten temperate fish populations,2015,Nature Communications,10.1038/ncomms8724,documented,2015,2015,"Lake Erie, United States of America",North America,United States,Laurentian Great Lakes,Large lakes,lake,lentic,temperature,Yellow Perch (Perca flavescens),NA,phenological,migration timing,earlier migration,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,unknown,No formal management recommendation
39,Kovach et al.,Temporal patterns in adult salmon migration timing across southeast Alaska,2015,Global Change Biology,10.1111/gcb.12829,documented,Varies by population; 1971 (earliest) - 2011 (latest),1991,3 streams in southeast Alaska,North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,stream,lotic,"precipitation, temperature",Chinook Salmon (Oncorhynchus tshawytscha),NA,phenological,migration timing,later migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,unknown,Alter stocking practices; Modify fishing regulations
40,Kovach et al.,Temporal patterns in adult salmon migration timing across southeast Alaska,2015,Global Change Biology,10.1111/gcb.12829,documented,Varies by population; 1965 (earliest) - 2011 (latest),1988,4 streams in southeast Alaska,North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,stream,lotic,"precipitation, temperature",Chum Salmon (Oncorhynchus keta),NA,phenological,migration timing,earlier migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,unknown,Alter stocking practices; Modify fishing regulations
41,Kovach et al.,Temporal patterns in adult salmon migration timing across southeast Alaska,2015,Global Change Biology,10.1111/gcb.12829,documented,Varies by population; 1976 (earliest) - 2011 (latest),1993,7 streams in southeast Alaska,North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,stream,lotic,"precipitation, temperature",Coho Salmon (Oncorhynchus kisutch),NA,phenological,migration timing,earlier migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,unknown,Alter stocking practices; Modify fishing regulations
42,Kovach et al.,Temporal patterns in adult salmon migration timing across southeast Alaska,2015,Global Change Biology,10.1111/gcb.12829,documented,Varies by population; 1960 (earliest) - 2011 (latest),1985,8 streams in southeast Alaska,North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,stream,lotic,"precipitation, temperature",Pink Salmon (Oncorhynchus gorbuscha),NA,phenological,migration timing,earlier migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,unknown,Alter stocking practices; Modify fishing regulations
43,Kovach et al.,Temporal patterns in adult salmon migration timing across southeast Alaska,2015,Global Change Biology,10.1111/gcb.12829,documented,Varies by population; 1960 (earliest) - 2011 (latest),1985,14 streams in southeast Alaska,North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,stream,lotic,"precipitation, temperature",Sockeye Salmon (Oncorhynchus nerka),NA,phenological,migration timing,later migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,unknown,Alter stocking practices; Modify fishing regulations
44,Lyons et al.,Trends in the reproductive phenology of two Great Lakes fishes,2015,Transactions of the American Fisheries Society,10.1080/00028487.2015.1082502,documented,1983-2006,1994,Lake Michigan near Milwaukee,North America,United States,Laurentian Great Lakes,Large lakes,lake,lentic,temperature,Lake Trout (Salvelinus namaycush),NA,phenological,spawn timing timing,later migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,unknown,Conduct research and/or monitoring
45,Lyons et al.,Trends in the reproductive phenology of two Great Lakes fishes,2015,Transactions of the American Fisheries Society,10.1080/00028487.2015.1082502,documented,1988-2012,2000,"Apostle Islands, Lake Superior",North America,United States,Laurentian Great Lakes,Large lakes,lake,lentic,temperature,Lake Trout (Salvelinus namaycush),NA,phenological,spawn timing timing,no change,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,no effect,Conduct research and/or monitoring
46,Lyons et al.,Trends in the reproductive phenology of two Great Lakes fishes,2015,Transactions of the American Fisheries Society,10.1080/00028487.2015.1082502,documented,1980-2012,1996,Lake Michigan near Milwaukee and Green Bay,North America,United States,Laurentian Great Lakes,Large lakes,lake,lentic,temperature,Yellow Perch (Perca flavescens),NA,phenological,spawn timing timing,earlier migration,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,unknown,Restore aquatic and associated terrestrial habitats
47,Sergeant et al.,Predator-prey migration phenologies remain synchronised in a warming catchment,2015,Freshwater Biology,10.1111/fwb.12524,documented,1997-2006,2001,"Auke Creek, Alaska",North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,stream,lotic,temperature,Dolly Varden (Salvelinus malma),"Sockeye Salmon (Oncorhynchus nerka), Chum (Oncorhynchus keta), Pink Salmon (Oncorhynchus gorbuscha) and Coho Salmon (Oncorhynchus kisutch)",phenological,migrating timing of predator and prey,synchrony of migration,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,no effect,No formal management recommendation
48,Bassar et al.,Changes in seasonal climate outpaces compensatory density-dependence in eastern brook trout,2016,Global Change Biology,10.1111/gcb.13135,documented,2002-2012,2007,"Massachusetts, United States of America",North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,stream,lotic,"flow, temperature",Brook Trout (Salvelinus fontinalis),NA,demographic,density (population size),decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),No formal management recommendation
49,McLean et al.,"From ""Duck Factory"" to ""Fish Factory"": Climate induced changes in vertebrate communities of prairie pothole wetlands and small lakes",2016,Wetlands,10.1007/s13157-016-0766-3,documented,"1966-1976, 2012-2013",1971,"Prairie pothole wetlands, North Dakota",North America,United States,Upper Missouri; Middle Missouri,Temperate floodplain rivers and wetlands; Temperate upland rivers,wetland,lentic,precipitation,Brook Stickleback (Culaea inconstans),"Tiger Salamander, Ducks",distributional,presence,increase,cool,Gasterosteidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,positive (+),No formal management recommendation
50,McLean et al.,"From ""Duck Factory"" to ""Fish Factory"": Climate induced changes in vertebrate communities of prairie pothole wetlands and small lakes",2016,Wetlands,10.1007/s13157-016-0766-3,documented,"1966-1976, 2012-2013",1971,"Prairie pothole wetlands, North Dakota",North America,United States,Upper Missouri; Middle Missouri,Temperate floodplain rivers and wetlands; Temperate upland rivers,wetland,lentic,precipitation,Fathead Minnow (Pimephales promelas),"Tiger Salamander, Ducks",distributional,presence,increase,warm,Cyprinidae,mainly plants/detritus (troph. 2-2.19),variable,guarders,nesters,positive (+),No formal management recommendation
